Date,Day,Check-In,Check-Out,Total,Task,Task Extra 1,Task Extra 2,Task Extra 3,Task Extra 4,Client,Work unit notes
11.03.2023,Sat,00:00,04:42,04:42,잠,잠,잠,,,,
11.03.2023,Sat,04:42,04:50,00:08,인터넷 커뮤니티 고파스 서핑,,,,,,
11.03.2023,Sat,04:50,09:09,04:19,잠,잠,잠,,,,
11.03.2023,Sat,09:09,09:12,00:03,화장실,생활,화장실,,,,
11.03.2023,Sat,09:12,09:44,00:32,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
11.03.2023,Sat,09:44,09:50,00:06,"과일 준비, 먹기, 뒤처리",식사,과일,,,,
11.03.2023,Sat,09:50,11:50,02:00,무한도전 시청,,,,,,
11.03.2023,Sat,11:50,12:35,00:45,잠,잠,잠,,,,
11.03.2023,Sat,12:35,12:37,00:02,인터넷 커뮤니티 고파스 서핑,,,,,,
11.03.2023,Sat,12:37,12:42,00:05,"국내 언론 기사, 지면 인터뷰, 연재물 등 확인",정보,언론,,,,
11.03.2023,Sat,12:42,12:48,00:06,인터넷 서핑,여가,인터넷 서핑,,,,
11.03.2023,Sat,12:48,13:02,00:14,게임 리그 오브 레전드 LCK 시청,,,,,,
11.03.2023,Sat,13:02,13:06,00:04,화장실,생활,화장실,,,,
11.03.2023,Sat,13:06,13:08,00:02,"공부 자리 준비, 정리, 사용 앱 등 환경 설정, 다음 공부 강의 재생 등 준비",행정,자리 정리,,,,
11.03.2023,Sat,13:08,13:10,00:02,"메일 확인, 작성 등",,,,,문기옥,
11.03.2023,Sat,13:10,13:36,00:26,"샤워 준비, 실행, 뒤처리 등",생활,씻기,,,,
11.03.2023,Sat,13:36,13:41,00:05,"손톱, 발톱, 굳은살 깎기",생활,"손톱, 발톱 깎기",,,,
11.03.2023,Sat,13:41,13:49,00:08,"학습 자료, 교재 획득, 수집, 정리, 확인",행정,학습 자료 정리,,,,
11.03.2023,Sat,13:49,14:01,00:12,"이동 준비, 이동 등",생활,이동,,,,
11.03.2023,Sat,14:01,14:15,00:14,"이동 준비, 이동 등",생활,이동,,,,
11.03.2023,Sat,14:15,14:30,00:15,시험 법학적성시험 LEET 추리논증 공부,,,,,문기옥,
11.03.2023,Sat,14:30,14:31,00:01,"이동 준비, 이동 등",생활,이동,,,,
11.03.2023,Sat,14:31,14:57,00:26,시험 법학적성시험 LEET 추리논증 공부,,,,,문기옥,
11.03.2023,Sat,14:57,15:00,00:03,"이동 준비, 이동 등",생활,이동,,,,
11.03.2023,Sat,15:00,15:10,00:10,시험 법학적성시험 LEET 추리논증 공부,,,,,문기옥,
11.03.2023,Sat,15:10,15:14,00:04,"이동 준비, 이동 등",생활,이동,,,,
11.03.2023,Sat,15:14,15:26,00:12,시험 법학적성시험 LEET 추리논증 공부,,,,,문기옥,
